Reaction_No,Reactant_1_Name,Reactant_2_Name,Catalyst_1_Short_Hand,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,,
3340,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,CsF,DMF,10.88,,
3341,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,CsF,DMF,13.65,,
3342,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,CsF,DMF,12.80,,
3343,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,CsF,DMF,14.05,,
3344,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,CsF,DMF,12.53,,
3345,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,CsF,DMF,34.92,,
3346,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,CsF,DMF,33.09,,
3347,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,CsF,DMF,17.28,,
3348,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,CsF,DMF,12.86,,
3349,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,K3PO4,DMF,12.90,,
3350,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,K3PO4,DMF,11.86,,
3351,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,K3PO4,DMF,13.70,,
3352,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,K3PO4,DMF,11.93,,
3353,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,K3PO4,DMF,11.79,,
3354,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,K3PO4,DMF,25.41,,
3355,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,K3PO4,DMF,33.14,,
3356,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,K3PO4,DMF,12.96,,
3357,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,K3PO4,DMF,16.49,,
3358,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,K3PO4,DMF,35.78,,
3359,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,K3PO4,DMF,43.66,,
3360,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,K3PO4,DMF,13.52,,
3361,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,None,MeOH,19.99,,
3362,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,None,MeOH,24.57,,
3363,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,None,MeOH,48.08,,
3364,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,None,MeOH,54.99,,
3365,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,None,MeOH,26.10,,
3366,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,None,MeOH,38.20,,
3367,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,None,MeOH,71.95,,
3368,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,None,MeOH,25.89,,
3369,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,None,MeOH,21.16,,
3370,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,None,MeOH,27.69,,
3371,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,None,MeOH,28.32,,
3372,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,None,MeOH,14.64,,
3373,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,NaOH,MeOH,43.69,,
3374,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,NaOH,MeOH,23.77,,
3375,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,NaOH,MeOH,72.56,,
3376,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,NaOH,MeOH,39.11,,
3377,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,NaOH,MeOH,61.53,,
3378,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,NaOH,MeOH,35.64,,
3379,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,NaOH,MeOH,35.27,,
3380,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,NaOH,MeOH,47.03,,
3381,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,NaOH,MeOH,39.17,,
3382,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,NaOH,MeOH,51.17,,
3383,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,NaOH,MeOH,60.68,,
3384,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,NaOH,MeOH,18.96,,
3385,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,KOH,MeOH,43.88,,
3386,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,KOH,MeOH,20.76,,
3387,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,KOH,MeOH,73.52,,
3388,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,KOH,MeOH,30.22,,
3389,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,KOH,MeOH,49.15,,
3390,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,KOH,MeOH,37.72,,
3391,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,KOH,MeOH,36.05,,
3392,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,KOH,MeOH,45.38,,
3393,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,KOH,MeOH,34.61,,
3394,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,KOH,MeOH,47.38,,
3395,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,KOH,MeOH,61.34,,
3396,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,KOH,MeOH,20.34,,
3397,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,LiOtBu,MeOH,46.07,,
3398,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,LiOtBu,MeOH,20.85,,
3399,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,LiOtBu,MeOH,74.41,,
3400,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,LiOtBu,MeOH,25.49,,
3401,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,LiOtBu,MeOH,47.92,,
3402,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,LiOtBu,MeOH,31.78,,
3403,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,LiOtBu,MeOH,29.21,,
3404,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,LiOtBu,MeOH,50.69,,
3405,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,LiOtBu,MeOH,32.73,,
3406,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,LiOtBu,MeOH,43.22,,
3407,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,LiOtBu,MeOH,59.06,,
3408,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,LiOtBu,MeOH,21.75,,
3409,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,NaHCO3,MeOH,40.22,,
3410,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,NaHCO3,MeOH,21.32,,
3411,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,NaHCO3,MeOH,83.66,,
3412,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,NaHCO3,MeOH,36.82,,
3413,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,NaHCO3,MeOH,63.05,,
3414,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,NaHCO3,MeOH,37.05,,
3415,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,NaHCO3,MeOH,40.78,,
3416,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,NaHCO3,MeOH,53.28,,
3417,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,NaHCO3,MeOH,15.86,,
3418,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,NaHCO3,MeOH,46.27,,
3419,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,NaHCO3,MeOH,50.42,,
3420,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,NaHCO3,MeOH,21.57,,
3421,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,Et3N,MeOH,37.24,,
3422,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,Et3N,MeOH,18.29,,
3423,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,Et3N,MeOH,71.31,,
3424,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,Et3N,MeOH,31.01,,
3425,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,Et3N,MeOH,69.26,,
3426,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,Et3N,MeOH,37.59,,
3427,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,Et3N,MeOH,37.91,,
3428,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,Et3N,MeOH,23.20,,
3429,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,Et3N,MeOH,16.21,,
3430,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,Et3N,MeOH,30.62,,
3431,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,Et3N,MeOH,35.99,,
3432,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,Et3N,MeOH,13.43,,
3433,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,CsF,MeOH,41.07,,
3434,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,CsF,MeOH,23.65,,
3435,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,CsF,MeOH,62.95,,
3436,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,CsF,MeOH,45.32,,
3437,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,CsF,MeOH,83.06,,
3438,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,CsF,MeOH,38.42,,
3439,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,CsF,MeOH,43.30,,
3440,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,CsF,MeOH,27.79,,
3441,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,CsF,MeOH,18.12,,
3442,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,CsF,MeOH,48.35,,
3443,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,CsF,MeOH,37.25,,
3444,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,CsF,MeOH,15.09,,
3445,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,None,K3PO4,MeOH,37.73,,
3446,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,K3PO4,MeOH,20.59,,
3447,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,K3PO4,MeOH,84.54,,
3448,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,K3PO4,MeOH,31.28,,
3449,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,K3PO4,MeOH,64.63,,
3450,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,K3PO4,MeOH,44.63,,
3451,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,K3PO4,MeOH,31.51,,
3452,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,K3PO4,MeOH,52.78,,
3453,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,K3PO4,MeOH,18.75,,
3454,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,K3PO4,MeOH,42.62,,
3455,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,K3PO4,MeOH,66.55,,
3456,6-triflatequinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,K3PO4,MeOH,18.22,,
3457,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,None,MeCN,15.69,,
3458,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,None,MeCN,14.78,,
3459,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,None,MeCN,15.69,,
3460,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,None,MeCN,16.01,,
3461,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,None,MeCN,19.35,,
3462,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,None,MeCN,17.37,,
3463,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,None,MeCN,15.16,,
3464,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,None,MeCN,14.48,,
3465,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,None,MeCN,19.50,,
3466,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,None,MeCN,16.12,,
3467,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,None,MeCN,18.16,,
3468,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,None,MeCN,14.57,,
3469,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,NaOH,MeCN,17.93,,
3470,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,NaOH,MeCN,17.82,,
3471,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,NaOH,MeCN,19.46,,
3472,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,NaOH,MeCN,20.67,,
3473,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,NaOH,MeCN,19.64,,
3474,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,NaOH,MeCN,29.53,,
3475,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,NaOH,MeCN,19.42,,
3476,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,NaOH,MeCN,19.15,,
3477,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,NaOH,MeCN,25.27,,
3478,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,NaOH,MeCN,20.14,,
3479,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,NaOH,MeCN,20.68,,
3480,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,NaOH,MeCN,19.96,,
3481,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,KOH,MeCN,19.70,,
3482,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,KOH,MeCN,18.86,,
3483,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,KOH,MeCN,16.12,,
3484,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,KOH,MeCN,16.64,,
3485,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,KOH,MeCN,16.07,,
3486,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,KOH,MeCN,17.97,,
3487,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,KOH,MeCN,17.61,,
3488,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,KOH,MeCN,17.31,,
3489,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,KOH,MeCN,18.42,,
3490,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,KOH,MeCN,16.92,,
3491,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,KOH,MeCN,23.26,,
3492,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,KOH,MeCN,19.22,,
3493,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,LiOtBu,MeCN,19.80,,
3494,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,LiOtBu,MeCN,16.72,,
3495,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,LiOtBu,MeCN,18.91,,
3496,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,LiOtBu,MeCN,16.35,,
3497,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,LiOtBu,MeCN,15.90,,
3498,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,LiOtBu,MeCN,36.68,,
3499,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,LiOtBu,MeCN,24.07,,
3500,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,LiOtBu,MeCN,16.43,,
3501,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,LiOtBu,MeCN,22.38,,
3502,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,LiOtBu,MeCN,4.66,,
3503,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,LiOtBu,MeCN,20.82,,
3504,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,LiOtBu,MeCN,16.06,,
3505,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,NaHCO3,MeCN,15.95,,
3506,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,NaHCO3,MeCN,15.83,,
3507,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,NaHCO3,MeCN,15.34,,
3508,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,NaHCO3,MeCN,15.09,,
3509,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,NaHCO3,MeCN,15.73,,
3510,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,NaHCO3,MeCN,13.61,,
3511,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,NaHCO3,MeCN,15.62,,
3512,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,NaHCO3,MeCN,15.39,,
3513,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,NaHCO3,MeCN,19.06,,
3514,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,NaHCO3,MeCN,14.07,,
3515,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,NaHCO3,MeCN,19.52,,
3516,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,NaHCO3,MeCN,12.23,,
3517,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,Et3N,MeCN,17.06,,
3518,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,Et3N,MeCN,16.00,,
3519,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,Et3N,MeCN,16.23,,
3520,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,Et3N,MeCN,12.40,,
3521,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,Et3N,MeCN,14.32,,
3522,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,Et3N,MeCN,15.59,,
3523,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,Et3N,MeCN,16.37,,
3524,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,Et3N,MeCN,13.25,,
3525,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,Et3N,MeCN,16.00,,
3526,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,Et3N,MeCN,15.80,,
3527,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,Et3N,MeCN,20.30,,
3528,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,Et3N,MeCN,12.48,,
3529,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,CsF,MeCN,14.44,,
3530,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,CsF,MeCN,17.17,,
3531,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,CsF,MeCN,19.75,,
3532,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,CsF,MeCN,12.94,,
3533,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,CsF,MeCN,14.18,,
3534,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,CsF,MeCN,15.69,,
3535,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,CsF,MeCN,22.51,,
3536,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,CsF,MeCN,15.14,,
3537,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,CsF,MeCN,15.44,,
3538,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,CsF,MeCN,14.17,,
3539,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,CsF,MeCN,22.45,,
3540,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,CsF,MeCN,16.66,,
3541,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,K3PO4,MeCN,16.79,,
3542,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,K3PO4,MeCN,14.14,,
3543,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,K3PO4,MeCN,15.19,,
3544,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,K3PO4,MeCN,16.49,,
3545,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,K3PO4,MeCN,16.02,,
3546,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,K3PO4,MeCN,15.25,,
3547,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,K3PO4,MeCN,13.53,,
3548,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,K3PO4,MeCN,14.34,,
3549,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,K3PO4,MeCN,16.43,,
3550,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,K3PO4,MeCN,15.27,,
3551,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,K3PO4,MeCN,19.20,,
3552,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,K3PO4,MeCN,15.20,,
3553,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,None,THF,26.79,,
3554,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,None,THF,31.76,,
3555,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,None,THF,51.68,,
3556,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,None,THF,37.57,,
3557,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,None,THF,47.60,,
3558,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,None,THF,34.75,,
3559,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,None,THF,55.11,,
3560,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,None,THF,31.85,,
3561,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,None,THF,35.62,,
3562,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,None,THF,29.92,,
3563,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,None,THF,38.29,,
3564,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,None,THF,25.51,,
3565,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,None,NaOH,THF,27.40,,
3566,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(tBu)3,NaOH,THF,27.16,,
3567,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Ph)3 ,NaOH,THF,47.70,,
3568,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,AmPhos,NaOH,THF,43.30,,
3569,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(Cy)3,NaOH,THF,44.40,,
3570,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,P(o-Tol)3,NaOH,THF,34.11,,
3571,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,CataCXium A,NaOH,THF,46.43,,
3572,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,SPhos,NaOH,THF,27.58,,
3573,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dtbpf,NaOH,THF,33.31,,
3574,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,XPhos,NaOH,THF,23.65,,
3575,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,dppf,NaOH,THF,30.58,,
3576,6-Iodoquinoline,"2c, Trifluoroborate",Pd(OAc)2,Xantphos,NaOH,THF,26.06,,
